lambda,sampleCount,mae,rmse,mae_x10000,rmse_x10000
1,24626,0.00611179264335108,0.010605122144631692,61.1179264335108,106.05122144631692
2,24626,0.006041002852799878,0.010502637277484655,60.410028527998776,105.02637277484655
3,24626,0.00601215832467543,0.010472809342441061,60.1215832467543,104.72809342441062
4,24626,0.005997237823274987,0.010466755770857601,59.97237823274987,104.66755770857601
5,24626,0.0059883287671586094,0.010470523830448988,59.883287671586096,104.70523830448988
6,24626,0.005982631590246362,0.010478799948595015,59.82631590246362,104.78799948595015
7,24626,0.005978905167355037,0.010489202893133966,59.78905167355037,104.89202893133965
8,24626,0.005976644996205669,0.010500552224073574,59.76644996205669,105.00552224073574
9,24626,0.005975185220308069,0.010512224138774912,59.75185220308069,105.12224138774913
10,24626,0.005974303881158497,0.010523876327088205,59.743038811584974,105.23876327088205
11,24626,0.005973852123609219,0.010535318103307632,59.73852123609219,105.35318103307631
12,24626,0.005973782697039885,0.010546444321444998,59.73782697039886,105.46444321444997
13,24626,0.005973946719941116,0.010557199732603363,59.73946719941116,105.57199732603362
14,24626,0.0059743453508015925,0.01056755886050346,59.743453508015925,105.67558860503459
15,24626,0.005974904089442272,0.01057751421865961,59.74904089442272,105.77514218659609
16,24626,0.005975503125974628,0.01058706921057289,59.75503125974628,105.8706921057289
17,24626,0.005976160074267666,0.010596233755126376,59.76160074267666,105.96233755126376
18,24626,0.005976861559925816,0.010605021545971285,59.768615599258155,106.05021545971285
19,24626,0.005977573423264352,0.01061344831531362,59.77573423264352,106.1344831531362
20,24626,0.0059783414747017535,0.010621530727954303,59.78341474701754,106.21530727954303
21,24626,0.005979133805174103,0.010629285677526,59.79133805174103,106.29285677525999
22,24626,0.005979997018504202,0.010636729842842634,59.79997018504202,106.36729842842634
23,24626,0.005980857804778959,0.010643879414166245,59.80857804778959,106.43879414166246
24,24626,0.005981715619198565,0.010650749931204885,59.81715619198565,106.50749931204885
25,24626,0.005982564255272695,0.010657356194792173,59.82564255272695,106.57356194792173
26,24626,0.005983386654437944,0.01066371222708424,59.83386654437944,106.63712227084241
27,24626,0.005984174829005471,0.010669831263480903,59.84174829005471,106.69831263480903
28,24626,0.005984952683219052,0.010675725764986018,59.84952683219051,106.75725764986018
29,24626,0.005985712908259001,0.010681407443392826,59.857129082590006,106.81407443392827
30,24626,0.005986471757166313,0.010686887294144095,59.864717571663135,106.86887294144096
31,24626,0.005987203036930714,0.010692175633390885,59.87203036930714,106.92175633390885
32,24626,0.00598792035991373,0.01069728213691471,59.8792035991373,106.9728213691471
33,24626,0.00598864581024219,0.010702215879359846,59.8864581024219,107.02215879359846
34,24626,0.005989361229115707,0.010706985372762252,59.89361229115707,107.06985372762252
35,24626,0.005990053383131682,0.010711598603731758,59.90053383131682,107.11598603731758
36,24626,0.005990737167386344,0.010716063068901369,59.90737167386344,107.16063068901369
37,24626,0.005991441742319283,0.010720385808429975,59.91441742319284,107.20385808429975
38,24626,0.005992129023226952,0.010724573437467327,59.92129023226952,107.24573437467328
39,24626,0.0059928017753607486,0.010728632175567845,59.928017753607485,107.28632175567846
40,24626,0.005993467950945309,0.010732567874093584,59.93467950945309,107.32567874093584
41,24626,0.005994131217843742,0.010736386041681312,59.94131217843742,107.36386041681311
42,24626,0.005994786354332829,0.010740091867866453,59.94786354332829,107.40091867866452
43,24626,0.0059954233878998986,0.010743690244971448,59.954233878998984,107.43690244971448
44,24626,0.005996047860121436,0.010747185788367726,59.96047860121436,107.47185788367726
45,24626,0.005996668679936769,0.010750582855222573,59.96668679936769,107.50582855222574
46,24626,0.0059972734372725125,0.010753885561839626,59.97273437272513,107.53885561839627
47,24626,0.00599786104358617,0.010757097799697782,59.978610435861704,107.57097799697782
48,24626,0.005998435036207367,0.010760223250286683,59.98435036207367,107.60223250286683
49,24626,0.005998999150785996,0.010763265398833637,59.98999150785996,107.63265398833637
50,24626,0.005999546799829996,0.010766227547007472,59.995467998299965,107.66227547007472
