year,actorCount,includedForAggregate,exclusionReason,method,rank,percent,scoreThreshold,noKnee
2017,1304,True,,kneedS5,124,9.50920245398773,219.71896256972505,False
2018,1834,True,,maxDeviation,185,10.087241003271538,142.45074727316504,False
2018,1834,True,,kneedS1,27,1.4721919302071973,419.0822120076836,False
2018,1834,True,,kneedS2,27,1.4721919302071973,419.0822120076836,False
2018,1834,True,,kneedS5,223,12.159214830970557,126.27736835787078,False
2019,5008,True,,maxDeviation,684,13.65814696485623,75.68196060378389,False
2019,5008,True,,kneedS1,67,1.3378594249201279,312.40687406508533,False
2019,5008,True,,kneedS2,129,2.5758785942492013,239.22319755034394,False
2019,5008,True,,kneedS5,317,6.329872204472843,144.57455547564612,False
2020,3001,True,,maxDeviation,390,12.99566811062979,119.46939041562787,False
2020,3001,True,,kneedS1,62,2.0659780073308895,342.14019934650946,False
2020,3001,True,,kneedS2,113,3.7654115294901698,264.3933732632951,False
2020,3001,True,,kneedS5,292,9.730089970009997,159.81718090653897,False
2021,2523,True,,maxDeviation,388,15.378517637732857,87.29164490760189,False
2021,2523,True,,kneedS1,37,1.466508125247721,469.00964600594364,False
2021,2523,True,,kneedS2,161,6.381292112564408,226.58139940606677,False
2021,2523,True,,kneedS5,298,11.811335711454618,135.59729393219018,False
2022,2999,True,,maxDeviation,475,15.838612870956986,104.38622543747161,False
2022,2999,True,,kneedS1,43,1.4338112704234744,507.88885672801905,False
2022,2999,True,,kneedS2,84,2.800933644548183,359.4233029374183,False
2022,2999,True,,kneedS5,212,7.069023007669223,222.47707623644519,False
2023,1709,True,,maxDeviation,82,4.798127559976595,405.3065442119745,False
2023,1709,True,,kneedS1,44,2.574605032182563,520.2617055938791,False
2023,1709,True,,kneedS2,44,2.574605032182563,520.2617055938791,False
2023,1709,True,,kneedS5,91,5.324751316559391,388.4377612817915,False
2024,1348,True,,maxDeviation,67,4.970326409495549,375.14749380777715,False
2024,1348,True,,kneedS1,47,3.486646884272997,433.42680194646675,False
2024,1348,True,,kneedS2,69,5.118694362017804,371.64265221768886,False
2024,1348,True,,kneedS5,116,8.6053412462908,306.49201709162037,False
2025,1169,True,,maxDeviation,98,8.383233532934131,170.458139002141,False
2025,1169,True,,kneedS1,24,2.0530367835757057,420.8024595224858,False
2025,1169,True,,kneedS2,91,7.7844311377245505,183.23906811052402,False
2025,1169,True,,kneedS5,98,8.383233532934131,170.458139002141,False
2026,240,False,partial_cutoff_year;actor_count_below_Tukey_lower_fence,maxDeviation,56,23.333333333333332,43.740271608927806,False
2026,240,False,partial_cutoff_year;actor_count_below_Tukey_lower_fence,kneedS1,56,23.333333333333332,43.740271608927806,False
2026,240,False,partial_cutoff_year;actor_count_below_Tukey_lower_fence,kneedS2,56,23.333333333333332,43.740271608927806,False
2026,240,False,partial_cutoff_year;actor_count_below_Tukey_lower_fence,kneedS5,104,43.333333333333336,9.895406909115163,False
